Id Venta;Id Prod;Id cliente ;Id territorio;Cod Pago ;Id vendedor ;Fecha Venta;Fecha Entrega;Fecha Pago ;Valor Unidad;Cantidad ;Costos Directos ;Costos Indirectos 
102;94;154;15;104;104;43463;43464;43492;438;113;19797,6;7919,04
103;61;196;2;105;79;43458;43474;43499;99;60;2970;1782
104;89;296;4;101;14;43161;43172;43200;422;110;23210;9284
105;82;265;7;105;65;43605;43605;43620;757;43;13020,4;5208,16
106;41;30;10;102;87;43788;43789;43812;243;108;13122;6561
107;12;100;1;106;67;43229;43254;43257;513;6;1539;923,4
108;35;283;9;103;37;43336;43363;43372;213;100;8520;4260
109;88;322;16;101;9;43371;43387;43415;664;104;34528;17264
110;56;186;13;103;81;43190;43213;43235;365;81;11826;5913
111;46;208;17;103;12;43356;43356;43374;844;95;32072;19243,2
112;60;315;4;104;2;43182;43183;43202;303;41;6211,5;3726,9
113;91;203;1;104;69;43389;43417;43436;199;113;11243,5;6746,1
114;61;69;17;101;52;43414;43436;43453;439;52;9131,2;4565,6
115;90;299;9;102;100;43734;43758;43758;442;15;2652;1326
116;44;28;19;101;97;43154;43165;43189;596;97;23124,8;13874,88
117;65;143;6;102;84;43122;43124;43153;24;44;422,4;253,44
118;74;305;14;101;43;43599;43615;43627;644;30;9660;3864
119;37;6;4;105;7;43335;43363;43377;604;109;32918;16459
120;22;198;2;102;75;43179;43208;43232;198;54;4276,8;2566,08
121;27;225;17;105;37;43268;43288;43292;829;109;45180,5;18072,2
122;88;228;17;104;3;43422;43433;43439;86;92;3164,8;1265,92
123;79;290;1;102;54;43244;43246;43267;964;106;51092;25546
124;14;128;9;101;9;43633;43654;43669;568;20;5680;3408
125;23;129;15;101;14;43580;43605;43609;228;55;5016;2006,4
126;44;47;20;104;21;43681;43687;43706;474;5;1185;711
127;89;45;17;103;48;43419;43444;43473;340;112;19040;9520
128;78;55;9;101;88;43468;43490;43504;424;32;5427,2;2170,88
129;7;139;2;106;5;43701;43723;43747;828;88;36432;21859,2
130;53;121;9;102;34;43813;43841;43853;919;9;3308,4;1323,36
131;7;31;14;103;58;43105;43119;43125;586;93;21799,2;8719,68
132;17;192;18;106;81;43148;43168;43173;514;32;8224;3289,6
133;5;255;6;103;36;43421;43427;43435;849;35;11886;7131,6
134;47;326;11;105;82;43331;43357;43370;524;96;25152;12576
135;88;248;17;103;35;43473;43503;43528;225;60;5400;2160
136;45;145;17;104;10;43135;43150;43180;408;29;4732,8;2366,4
137;52;42;14;103;3;43318;43335;43346;601;74;22237;8894,8
138;23;86;13;101;80;43661;43688;43713;433;47;8140,4;3256,16
139;95;180;16;106;61;43756;43776;43799;246;9;885,6;442,8
140;17;190;10;102;61;43669;43672;43695;293;17;1992,4;996,2
141;26;110;9;104;70;43378;43403;43423;476;96;18278,4;9139,2
142;63;131;7;105;98;43511;43531;43554;459;52;11934;5967
143;9;98;13;101;51;43141;43152;43155;323;115;14858;5943,2
144;96;56;20;106;33;43125;43129;43139;722;83;29963;14981,5
145;52;208;19;103;38;43793;43811;43824;231;37;4273,5;2136,75
146;12;250;1;102;88;43315;43325;43329;533;28;5969,6;3581,76
147;53;144;8;101;2;43119;43147;43167;564;107;24139,2;9655,68
148;67;139;16;104;93;43692;43710;43718;141;35;1974;1184,4
149;69;154;15;103;44;43318;43331;43342;842;78;26270,4;10508,16
150;16;57;9;102;84;43715;43722;43744;372;102;15177,6;9106,56
151;13;110;19;106;3;43113;43117;43139;351;93;16321,5;8160,75
152;20;204;5;106;86;43815;43830;43837;209;27;2821,5;1128,6
153;26;276;15;105;36;43828;43829;43857;888;73;32412;12964,8
154;4;151;5;101;53;43438;43456;43481;966;34;16422;9853,2
155;88;251;14;102;43;43267;43293;43319;31;50;775;310
156;40;91;12;102;80;43754;43774;43803;138;40;2208;883,2
157;34;143;18;106;2;43428;43429;43444;817;29;11846,5;5923,25
158;60;294;7;104;72;43772;43786;43786;210;40;3360;1680
159;21;154;10;106;90;43614;43618;43629;41;21;344,4;206,64
160;24;8;11;102;13;43358;43372;43399;346;18;3114;1557
161;3;302;2;104;65;43539;43542;43547;654;5;1635;817,5
162;68;30;18;106;93;43145;43149;43160;498;85;16932;10159,2
163;25;128;17;101;12;43674;43678;43702;75;75;2250;1350
164;48;291;4;101;15;43402;43412;43432;194;50;3880;1940
165;36;248;13;106;76;43203;43209;43231;987;103;40664,4;24398,64
166;27;252;20;101;47;43605;43617;43620;293;108;15822;7911
167;75;17;8;103;29;43772;43784;43805;834;79;32943;16471,5
168;12;20;9;103;47;43266;43276;43278;255;52;5304;3182,4
169;3;87;9;106;55;43418;43427;43436;931;64;29792;11916,8
170;47;73;1;103;65;43651;43662;43674;601;5;1202;721,2
171;80;160;15;104;37;43402;43424;43449;886;45;19935;11961
172;17;81;1;105;5;43825;43833;43847;933;34;12688,8;6344,4
173;74;244;7;106;22;43312;43331;43351;503;74;14888,8;5955,52
174;93;177;6;101;17;43239;43239;43254;767;5;1534;767
175;80;197;16;106;73;43315;43322;43333;385;81;12474;4989,6
176;34;319;15;104;16;43236;43242;43250;993;52;20654,4;12392,64
177;95;142;18;104;39;43651;43674;43679;364;76;13832;6916
178;36;152;15;106;74;43301;43301;43310;727;87;31624,5;12649,8
179;8;86;14;105;65;43709;43730;43742;682;78;21278,4;8511,36
180;75;284;7;104;64;43760;43789;43793;948;4;1516,8;910,08
181;84;218;5;104;100;43376;43386;43411;543;34;9231;3692,4
182;7;275;6;102;63;43214;43240;43263;194;100;7760;3880
183;20;132;10;103;94;43330;43348;43348;854;114;48678;29206,8
184;16;69;15;102;4;43155;43165;43179;477;96;18316,8;7326,72
185;15;209;17;103;16;43592;43593;43604;901;57;25678,5;12839,25
186;64;171;13;105;80;43294;43294;43304;794;37;11751,2;4700,48
187;52;62;17;103;33;43720;43729;43748;605;16;4840;2904
188;41;254;20;105;56;43293;43309;43328;426;23;3919,2;1567,68
189;40;155;5;104;80;43129;43143;43152;591;90;26595;10638
190;24;59;3;102;99;43488;43507;43510;971;71;27576,4;11030,56
191;44;264;14;105;47;43673;43696;43698;416;72;14976;7488
192;80;163;6;102;57;43105;43121;43145;916;15;5496;2198,4
193;65;41;9;105;56;43112;43118;43128;924;99;36590,4;14636,16
194;47;269;2;101;71;43123;43130;43152;996;81;32270,4;16135,2
195;48;239;18;102;105;43665;43691;43714;185;51;3774;2264,4
196;84;202;6;102;33;43603;43626;43648;770;60;18480;11088
197;17;244;6;103;56;43257;43267;43291;608;57;17328;10396,8
198;4;268;5;105;59;43803;43811;43825;724;81;23457,6;14074,56
199;7;252;7;106;91;43689;43713;43743;34;39;663;397,8
200;74;289;5;106;65;43826;43835;43865;480;115;22080;8832
201;21;142;4;103;70;43829;43836;43862;142;103;7313;3656,5
202;4;67;15;106;52;43639;43653;43661;665;91;30257,5;18154,5
203;29;165;11;101;59;43798;43828;43856;131;105;5502;2751
204;36;34;8;103;22;43825;43838;43853;159;54;3434,4;1373,76
205;94;45;3;102;85;43368;43377;43407;641;89;22819,6;13691,76
206;1;274;7;101;21;43673;43691;43708;288;96;13824;5529,6
207;57;157;12;104;48;43164;43182;43191;478;81;19359;11615,4
208;33;293;2;104;84;43615;43624;43651;620;53;16430;8215
209;25;127;18;105;17;43805;43805;43807;541;58;15689;7844,5
210;5;119;14;105;102;43111;43120;43128;835;89;37157,5;18578,75
211;66;89;17;106;13;43673;43680;43709;132;42;2772;1108,8
212;83;127;3;103;15;43547;43571;43600;91;19;864,5;432,25
213;4;62;7;101;65;43765;43786;43791;932;27;10065,6;5032,8
214;22;115;15;106;87;43665;43677;43702;911;24;10932;6559,2
215;24;173;17;103;35;43205;43209;43209;754;114;42978;17191,2
216;40;52;8;101;12;43465;43468;43470;438;115;20148;8059,2
217;9;151;1;101;87;43325;43355;43367;327;66;8632,8;5179,68
218;74;102;20;102;67;43659;43661;43679;144;84;6048;3628,8
219;96;233;9;102;28;43534;43542;43570;853;7;2388,4;1433,04
220;9;84;4;105;82;43586;43601;43609;14;48;336;168
221;33;183;20;106;63;43283;43295;43318;372;54;8035,2;4017,6
222;93;272;12;103;49;43343;43372;43383;756;18;6804;2721,6
223;28;101;11;103;88;43566;43596;43626;10;40;200;80
224;93;34;17;105;82;43437;43446;43463;727;105;30534;15267
225;2;273;12;104;1;43381;43388;43389;141;107;7543,5;4526,1
226;35;293;6;104;81;43188;43217;43223;919;13;4778,8;2867,28
227;78;1;2;106;91;43748;43749;43770;361;76;13718;8230,8
228;57;219;14;105;1;43437;43448;43476;754;23;8671;4335,5
229;33;298;14;104;91;43252;43282;43291;244;23;2806;1403
230;61;208;11;103;28;43442;43452;43455;975;8;3120;1872
231;13;190;12;106;88;43226;43239;43243;504;27;5443,2;2721,6
232;6;135;15;103;46;43159;43179;43209;447;80;14304;5721,6
233;15;179;19;105;95;43224;43235;43247;212;50;4240;2120
234;54;80;6;103;18;43103;43112;43113;139;40;2780;1390
235;2;30;2;101;17;43294;43311;43314;362;1;144,8;72,4
236;7;204;11;104;87;43734;43735;43752;481;16;3848;1539,2
237;74;254;20;101;54;43313;43325;43333;691;41;14165,5;7082,75
238;59;221;13;102;26;43128;43142;43153;428;14;2996;1498
239;47;4;15;102;6;43392;43400;43430;265;107;14177,5;5671
240;13;81;9;105;74;43228;43258;43267;202;34;2747,2;1648,32
241;1;193;18;105;26;43601;43618;43632;555;79;21922,5;8769
242;88;292;15;104;59;43500;43528;43540;765;42;16065;6426
243;24;243;15;105;22;43530;43544;43566;850;50;17000;10200
244;64;248;18;104;97;43149;43178;43184;495;63;12474;6237
245;8;109;3;101;33;43335;43363;43373;283;109;15423,5;7711,75
246;39;146;8;101;97;43670;43694;43698;368;33;4857,6;1943,04
247;81;230;6;102;4;43380;43386;43395;569;13;3698,5;1849,25
248;16;12;7;106;85;43676;43682;43690;248;71;8804;3521,6
249;21;1;3;101;28;43202;43208;43219;258;106;10939,2;6563,52
250;38;142;17;101;97;43723;43724;43742;440;119;26180;13090
251;17;306;10;105;66;43750;43754;43779;787;81;31873,5;15936,75
252;70;147;12;105;69;43602;43627;43645;372;6;1116;446,4
253;18;229;3;106;64;43274;43290;43297;537;52;13962;6981
254;50;197;2;105;71;43625;43630;43660;64;16;409,6;245,76
255;86;312;12;101;73;43290;43297;43318;313;6;939;563,4
256;6;90;6;105;100;43267;43288;43304;354;5;708;283,2
257;32;43;13;106;98;43802;43828;43846;784;12;3763,2;2257,92
258;59;77;7;105;45;43667;43668;43691;801;107;42853,5;17141,4
259;9;262;13;102;48;43381;43406;43433;962;56;26936;16161,6
260;49;272;20;106;20;43649;43668;43688;285;9;1282,5;769,5
261;20;260;1;103;38;43474;43497;43522;219;24;2628;1314
262;96;21;3;105;68;43797;43812;43817;114;53;3021;1510,5
263;41;179;14;101;36;43528;43537;43545;769;89;34220,5;17110,25
264;13;93;13;102;62;43139;43151;43161;362;56;10136;6081,6
265;70;111;17;105;95;43364;43391;43414;562;66;14836,8;8902,08
266;9;244;6;105;55;43341;43368;43372;876;100;43800;21900
267;25;200;16;106;96;43473;43480;43502;233;91;8481,2;3392,48
268;71;149;10;105;75;43479;43504;43506;119;12;714;357
269;58;184;11;105;44;43196;43209;43216;49;107;2097,2;838,88
270;3;70;15;106;104;43461;43465;43488;538;50;13450;8070
271;45;333;18;103;95;43668;43693;43706;239;37;3537,2;1768,6
272;90;207;3;104;101;43820;43823;43835;192;24;1843,2;921,6
273;5;55;7;106;50;43647;43666;43676;221;23;2033,2;1016,6
274;62;277;13;106;11;43717;43742;43743;398;47;9353;3741,2
275;71;316;10;105;8;43116;43140;43144;508;119;24180,8;14508,48
276;81;166;7;101;75;43409;43428;43442;852;40;17040;6816
277;19;170;5;104;53;43242;43255;43272;330;48;6336;3801,6
278;43;280;1;101;103;43763;43783;43810;277;49;6786,5;4071,9
279;42;236;16;105;90;43171;43187;43200;294;108;12700,8;6350,4
280;67;190;6;105;83;43307;43333;43352;440;5;880;528
281;12;67;19;104;23;43599;43610;43635;820;61;20008;12004,8
282;10;263;15;101;20;43233;43254;43267;152;75;4560;2736
283;24;8;1;103;28;43547;43559;43570;167;75;6262,5;2505
284;6;328;13;105;99;43395;43422;43451;662;82;21713,6;13028,16
285;33;273;12;105;42;43530;43552;43580;750;88;33000;16500
286;96;251;14;103;31;43632;43662;43679;142;80;5680;3408
287;39;330;7;106;55;43511;43513;43540;683;86;23495,2;9398,08
288;4;150;5;101;13;43122;43127;43129;253;82;8298,4;4149,2
289;25;25;1;103;59;43277;43301;43301;446;78;13915,2;8349,12
290;35;209;17;104;37;43427;43448;43473;68;3;102;61,2
291;35;320;12;102;48;43221;43238;43246;723;110;31812;15906
292;54;145;13;105;102;43406;43410;43416;703;39;13708,5;8225,1
293;47;202;20;104;20;43770;43784;43803;200;27;2700;1620
294;66;157;13;106;10;43667;43681;43707;959;77;29537,2;17722,32
295;28;286;12;106;67;43637;43641;43665;619;75;23212,5;11606,25
296;11;220;3;106;3;43234;43263;43269;105;95;3990;1596
297;68;46;12;102;10;43630;43657;43661;557;69;15373,2;6149,28
298;58;137;19;104;57;43457;43486;43500;83;113;3751,6;2250,96
299;14;267;20;105;26;43498;43500;43503;471;86;20253;10126,5
300;37;238;7;105;39;43511;43536;43540;77;47;1809,5;723,8
301;10;160;13;106;97;43747;43767;43794;797;26;10361;6216,6
302;30;107;6;105;3;43535;43564;43578;554;13;3601;1800,5
303;16;16;11;101;50;43797;43818;43828;661;29;7667,6;3833,8
304;51;103;15;103;4;43575;43588;43603;947;53;25095,5;15057,3
305;96;291;8;104;85;43791;43820;43830;339;49;6644,4;2657,76
306;40;109;12;102;21;43206;43235;43265;284;19;2158,4;863,36
307;44;61;16;105;75;43225;43226;43232;440;2;352;140,8
308;13;283;15;106;66;43492;43493;43512;128;110;7040;4224
309;31;210;5;104;45;43358;43380;43392;575;103;23690;14214
310;8;279;15;103;18;43302;43307;43318;126;111;6993;2797,2
311;55;327;17;106;14;43704;43723;43725;832;117;48672;29203,2
312;66;40;14;103;95;43631;43659;43661;430;98;16856;6742,4
313;67;104;20;102;78;43611;43637;43650;95;76;2888;1155,2
314;8;226;1;104;67;43791;43799;43809;323;29;4683,5;2810,1
315;91;222;14;106;8;43701;43713;43735;682;79;21551,2;10775,6
316;41;334;7;104;103;43408;43429;43431;582;60;13968;8380,8
317;88;259;10;102;20;43442;43442;43452;294;77;11319;5659,5
318;43;67;11;103;41;43318;43338;43338;463;86;19909;9954,5
319;95;271;16;105;70;43693;43694;43717;527;89;18761,2;9380,6
320;7;66;19;106;2;43743;43757;43763;886;22;9746;5847,6
321;10;113;2;105;81;43510;43515;43520;723;3;867,6;433,8
322;64;231;9;105;29;43661;43673;43701;201;14;1125,6;450,24
323;30;160;16;103;11;43178;43184;43192;586;28;8204;3281,6
324;20;195;5;101;101;43249;43273;43281;214;65;5564;2225,6
325;14;8;10;101;74;43303;43308;43335;832;106;35276,8;14110,72
326;22;255;6;105;26;43178;43208;43210;876;8;2803,2;1681,92
327;56;269;15;102;59;43316;43319;43348;376;3;451,2;225,6
328;85;133;12;104;71;43373;43379;43388;78;49;1911;955,5
329;95;56;3;101;33;43102;43127;43131;763;20;6104;2441,6
330;84;39;12;102;6;43706;43730;43753;534;115;24564;14738,4
331;10;190;2;103;11;43542;43558;43582;678;30;10170;6102
332;51;161;18;105;74;43627;43629;43646;171;106;9063;5437,8
333;63;231;13;104;20;43819;43823;43840;967;23;11120,5;4448,2
334;68;205;11;104;102;43541;43544;43573;816;41;13382,4;5352,96
335;11;29;1;106;64;43807;43815;43829;830;52;17264;10358,4
336;46;49;14;103;67;43373;43375;43393;692;7;2422;968,8
337;46;227;17;103;26;43131;43134;43162;308;107;13182,4;7909,44
338;93;141;15;103;96;43752;43775;43784;316;119;15041,6;6016,64
339;87;115;7;101;62;43214;43223;43253;275;21;2310;924
340;3;292;6;101;46;43428;43457;43458;912;83;30278,4;18167,04
341;31;6;16;102;43;43752;43769;43774;737;53;15624,4;7812,2
342;94;311;6;101;100;43207;43226;43254;230;45;5175;2070
343;26;285;18;105;43;43630;43635;43646;915;6;2745;1372,5
344;41;198;16;101;52;43318;43341;43364;882;16;7056;4233,6
345;71;273;18;102;95;43152;43160;43185;619;108;26740,8;16044,48
346;43;95;18;101;39;43407;43411;43419;17;100;680;272
347;65;145;1;101;92;43827;43854;43868;90;95;4275;1710
348;71;254;10;106;21;43695;43714;43744;973;73;35514,5;21308,7
349;49;3;3;101;51;43283;43302;43324;427;104;17763,2;7105,28
350;5;158;17;105;2;43216;43232;43250;490;3;588;294
351;53;245;19;104;53;43261;43286;43290;166;87;7221;3610,5
352;24;226;6;106;102;43301;43301;43314;468;112;20966,4;12579,84
353;36;219;4;106;94;43717;43728;43749;993;55;27307,5;13653,75
354;61;243;14;105;14;43429;43445;43461;223;109;12153,5;6076,75
355;58;51;3;103;15;43277;43305;43318;63;57;1436,4;718,2
356;93;330;18;105;34;43210;43212;43236;69;94;2594,4;1037,76
357;48;30;3;102;87;43676;43687;43694;438;50;10950;6570
358;77;325;3;101;55;43337;43363;43375;49;94;1842,4;1105,44
359;40;271;12;105;30;43587;43607;43629;93;93;4324,5;2162,25
360;84;114;3;104;57;43749;43764;43787;632;16;5056;3033,6
361;47;327;8;106;9;43534;43543;43550;353;73;10307,6;4123,04
362;68;130;14;103;30;43664;43683;43689;152;75;5700;2280
363;65;206;11;104;47;43824;43827;43854;831;64;26592;10636,8
364;46;156;9;101;43;43775;43786;43802;500;111;22200;8880
365;26;35;18;106;46;43240;43258;43286;921;76;27998,4;16799,04
366;51;79;9;105;99;43568;43578;43589;449;25;4490;2694
367;78;81;11;105;4;43599;43627;43633;207;91;9418,5;3767,4
368;56;25;16;104;9;43661;43669;43682;889;69;30670,5;12268,2
369;24;116;14;106;85;43199;43228;43233;963;62;23882,4;9552,96
370;28;255;13;103;84;43731;43734;43741;201;46;4623;2773,8
371;74;160;19;105;79;43148;43172;43181;16;74;592;296
372;10;116;3;105;87;43152;43179;43202;816;32;10444,8;6266,88
373;40;2;20;105;79;43604;43624;43624;327;30;4905;1962
374;55;150;13;102;32;43581;43586;43597;130;99;6435;2574
375;32;153;14;106;54;43281;43296;43297;251;66;6626,4;3975,84
376;61;44;1;105;3;43230;43246;43264;831;108;35899,2;17949,6
377;73;83;6;104;63;43819;43819;43821;791;87;27526,8;11010,72
378;93;271;10;102;42;43571;43582;43594;495;108;21384;10692
379;24;296;4;101;56;43720;43750;43750;290;19;2755;1653
380;61;206;2;104;61;43495;43522;43530;277;47;6509,5;2603,8
381;59;11;19;102;12;43561;43583;43605;13;41;266,5;133,25
382;69;227;3;103;71;43758;43770;43796;472;69;16284;9770,4
383;51;233;3;103;1;43742;43760;43785;940;57;26790;16074
384;87;289;11;105;86;43246;43256;43259;596;40;9536;4768
385;23;186;9;101;3;43439;43453;43480;123;1;61,5;36,9
386;26;116;18;106;55;43355;43355;43375;10;18;72;43,2
387;70;134;3;102;24;43458;43462;43472;749;55;20597,5;8239
388;49;256;11;101;30;43252;43280;43303;467;33;7705,5;3082,2
389;21;280;2;103;98;43518;43533;43552;650;16;4160;2080
390;56;111;1;101;75;43473;43478;43504;637;11;3503,5;1401,4
391;7;148;4;101;62;43471;43487;43516;682;65;17732;10639,2
392;66;303;20;104;90;43610;43618;43636;214;67;5735,2;3441,12
393;87;275;4;104;36;43779;43796;43805;504;32;8064;4032
394;2;110;8;103;79;43710;43737;43760;625;16;5000;2000
395;68;270;5;105;70;43817;43828;43846;888;16;7104;4262,4
396;70;271;14;103;60;43723;43723;43739;477;119;28381,5;17028,9
397;56;186;11;102;71;43574;43590;43605;219;47;5146,5;2573,25
398;51;164;5;101;30;43534;43554;43562;399;78;12448,8;4979,52
399;57;286;7;106;11;43462;43467;43478;265;105;11130;6678
400;12;193;1;106;39;43119;43135;43165;60;1;30;12
401;49;163;6;104;40;43745;43760;43787;374;62;9275,2;5565,12
402;70;286;14;102;16;43599;43599;43605;240;44;4224;1689,6
403;26;29;1;105;11;43336;43336;43355;280;22;3080;1848
404;16;128;19;104;4;43755;43763;43765;502;33;8283;4969,8
405;94;175;12;105;40;43604;43606;43610;706;14;4942;2471
406;69;215;17;106;97;43162;43169;43172;329;71;9343,6;5606,16
407;28;147;8;104;8;43386;43413;43438;197;50;4925;2462,5
408;49;306;4;102;51;43206;43215;43224;829;101;33491,6;16745,8
409;62;278;11;102;23;43130;43145;43152;253;23;2327,6;931,04
410;30;35;20;106;40;43365;43365;43368;328;59;7740,8;3870,4
411;22;8;18;104;102;43109;43115;43132;456;17;3100,8;1860,48
412;57;264;4;103;9;43160;43175;43191;283;109;12338,8;7403,28
413;24;61;12;104;86;43316;43327;43339;684;70;19152;7660,8
414;56;142;19;101;53;43199;43228;43232;711;23;6541,2;3270,6
415;57;65;15;102;67;43658;43681;43710;445;57;10146;6087,6
416;44;10;1;106;67;43224;43241;43263;303;118;14301,6;8580,96
